"Buying   MaintenanceDoors    Person lug_bootsafety   class"
"high   med           3       4med     med    unacc"
"high   med           3       4med     high   acc"
"high   med           3       4big     low    unacc"
"high   med           3       4big     med    acc"
"high   med           3       4big     high   acc"
"high   med           3more    small   low    unacc"
"high   med           3more    small   med    unacc"
"high   med           3more    small   high   acc"
"high   med           3more    med     low    unacc"
"high   med           3more    med     med    acc"
"high   med           3more    med     high   acc"
"high   med           3more    big     low    unacc"
"high   med           3more    big     med    acc"
"high   med           3more    big     high   acc"
"high   med           4       2small   low    unacc"
"high   med           4       2small   med    unacc"
"high   med           4       2small   high   unacc"
"high   med           4       2med     low    unacc"
"high   med           4       2med     med    unacc"
"high   med           4       2med     high   unacc"
"high   med           4       2big     low    unacc"
"high   med           4       2big     med    unacc"
"high   med           4       2big     high   unacc"
"high   med           4       4small   low    unacc"
"high   med           4       4small   med    unacc"
"high   med           4       4small   high   acc"
"high   med           4       4med     low    unacc"
"high   med           4       4med     med    acc"
"high   med           4       4med     high   acc"
"high   med           4       4big     low    unacc"
"high   med           4       4big     med    acc"
"high   med           4       4big     high   acc"
"high   med           4more    small   low    unacc"
"high   med           4more    small   med    unacc"
"high   med           4more    small   high   acc"
"high   med           4more    med     low    unacc"
"high   med           4more    med     med    acc"
"high   med           4more    med     high   acc"
"high   med           4more    big     low    unacc"
"high   med           4more    big     med    acc"
"high   med           4more    big     high   acc"
"high   med   5more           2small   low    unacc"
"high   med   5more           2small   med    unacc"
"high   med   5more           2small   high   unacc"
"high   med   5more           2med     low    unacc"
"high   med   5more           2med     med    unacc"
"high   med   5more           2med     high   unacc"
"high   med   5more           2big     low    unacc"
"high   med   5more           2big     med    unacc"
"high   med   5more           2big     high   unacc"
"high   med   5more           4small   low    unacc"
"high   med   5more           4small   med    unacc"
"high   med   5more           4small   high   acc"
"high   med   5more           4med     low    unacc"
"high   med   5more           4med     med    acc"
"high   med   5more           4med     high   acc"
"high   med   5more           4big     low    unacc"
"high   med   5more           4big     med    acc"
"high   med   5more           4big     high   acc"
"high   med   5more   more     small   low    unacc"
"high   med   5more   more     small   med    unacc"
"high   med   5more   more     small   high   acc"
"high   med   5more   more     med     low    unacc"
"high   med   5more   more     med     med    acc"
"high   med   5more   more     med     high   acc"
"high   med   5more more    big     low    unacc"
"high   med   5more more    big     med    acc"
"high   med   5more more    big     high   acc"
"high   low        2       2small   low    unacc"
"high   low        2       2small   med    unacc"
"high   low        2       2small   high   unacc"
"high   low        2       2med     low    unacc"
""
"high   low        2       2med     med    unacc"
"high   low        2       2med     high   unacc"
"high   low        2       2big     low    unacc"
"high   low        2       2big     med    unacc"
"high   low        2       2big     high   unacc"
"high   low        2       4small   low    unacc"
"high   low        2       4small   med    unacc"
"high   low        2       4small   high   acc"
"high   low        2       4med     low    unacc"
"high   low        2       4med     med    unacc"
"high   low        2       4med     high   acc"
"high   low        2       4big     low    unacc"
"high   low        2       4big     med    acc"
"high   low        2       4big     high   acc"
"high   low        2more    small   low    unacc"
"high   low        2more    small   med    unacc"
"high   low        2more    small   high   unacc"
"high   low        2more    med     low    unacc"
"high   low        2more    med     med    unacc"
"high   low        2more    med     high   acc"
"high   low        2more    big     low    unacc"
"high   low        2more    big     med    acc"
"high   low        2more    big     high   acc"
"high   low        3       2small   low    unacc"
"high   low        3       2small   med    unacc"
"high   low        3       2small   high   unacc"
"high   low        3       2med     low    unacc"
"high   low        3       2med     med    unacc"
"high   low        3       2med     high   unacc"
"high   low        3       2big     low    unacc"
"high   low        3       2big     med    unacc"
"high   low        3       2big     high   unacc"
"high   low        3       4small   low    unacc"
"high   low        3       4small   med    unacc"
"high   low        3       4small   high   acc"
"high   low        3       4med     low    unacc"
"high   low        3       4med     med    unacc"
"high   low        3       4med     high   acc"
"high   low        3       4big     low    unacc"
"high   low        3       4big     med    acc"
"high   low        3       4big     high   acc"
"high   low        3more    small   low    unacc"
"high   low        3more    small   med    unacc"
"high   low        3more    small   high   acc"
"high   low        3more    med     low    unacc"
"high   low        3more    med     med    acc"
"high   low        3more    med     high   acc"
"high   low        3more    big     low    unacc"
"high   low        3more    big     med    acc"
"high   low        3more    big     high   acc"
"high   low        4       2small   low    unacc"
"high   low        4       2small   med    unacc"
"high   low        4       2small   high   unacc"
"high   low        4       2med     low    unacc"
"high   low        4       2med     med    unacc"
"high   low        4       2med     high   unacc"
"high   low        4       2big     low    unacc"
"high   low        4       2big     med    unacc"
"high   low        4       2big     high   unacc"
"high   low        4       4small   low    unacc"
"high   low        4       4small   med    unacc"
"high   low        4       4small   high   acc"
"high   low             4       4med     low    unacc"
"high   low             4       4med     med    acc"
"high   low             4       4med     high   acc"
"high   low             4       4big     low    unacc"
"high   low             4       4big     med    acc"
"high   low             4       4big     high   acc"
"high   low             4more    small   low    unacc"
"high   low             4more    small   med    unacc"
""
"high   low             4more    small   high   acc"
"high   low             4more    med     low    unacc"
"high   low             4more    med     med    acc"
"high   low             4more    med     high   acc"
"high   low             4more    big     low    unacc"
"high   low             4more    big     med    acc"
"high   low             4more    big     high   acc"
"high   low     5more           2small   low    unacc"
"high   low     5more           2small   med    unacc"
"high   low     5more           2small   high   unacc"
"high   low     5more           2med     low    unacc"
"high   low     5more           2med     med    unacc"
"high   low     5more           2med     high   unacc"
"high   low     5more           2big     low    unacc"
"high   low     5more           2big     med    unacc"
"high   low     5more           2big     high   unacc"
"high   low     5more           4small   low    unacc"
"high   low     5more           4small   med    unacc"
"high   low     5more           4small   high   acc"
"high   low     5more           4med     low    unacc"
"high   low     5more           4med     med    acc"
"high   low     5more           4med     high   acc"
"high   low     5more           4big     low    unacc"
"high   low     5more           4big     med    acc"
"high   low     5more           4big     high   acc"
"high   low     5more    more    small   low    unacc"
"high   low     5more    more    small   med    unacc"
"high   low     5more    more    small   high   acc"
"high   low     5more    more    med     low    unacc"
"high   low     5more    more    med     med    acc"
"high   low     5more    more    med     high   acc"
"high   low     5more    more    big     low    unacc"
"high   low     5more    more    big     med    acc"
"high   low     5more    more    big     high   acc"
"med    vhigh           2       2small   low    unacc"
"med    vhigh           2       2small   med    unacc"
"med    vhigh           2       2small   high   unacc"
"med    vhigh           2       2med     low    unacc"
"med    vhigh           2       2med     med    unacc"
"med    vhigh           2       2med     high   unacc"
"med    vhigh           2       2big     low    unacc"
"med    vhigh           2       2big     med    unacc"
"med    vhigh           2       2big     high   unacc"
"med    vhigh           2       4small   low    unacc"
"med    vhigh           2       4small   med    unacc"
"med    vhigh           2       4small   high   acc"
"med    vhigh           2       4med     low    unacc"
"med    vhigh           2       4med     med    unacc"
"med    vhigh           2       4med     high   acc"
"med    vhigh           2       4big     low    unacc"
"med    vhigh           2       4big     med    acc"
"med    vhigh           2       4big     high   acc"
"med    vhigh           2more    small   low    unacc"
"med    vhigh           2more    small   med    unacc"
"med    vhigh           2more    small   high   unacc"
"med    vhigh           2more    med     low    unacc"
"med    vhigh           2more    med     med    unacc"
"med    vhigh           2more    med     high   acc"
"med    vhigh           2more    big     low    unacc"
"med    vhigh           2more    big     med    acc"
"med    vhigh           2more    big     high   acc"
"med   vhigh           3       2small   low    unacc"
"med   vhigh           3       2small   med    unacc"
"med   vhigh           3       2small   high   unacc"
"med   vhigh           3       2med     low    unacc"
"med   vhigh           3       2med     med    unacc"
"med   vhigh           3       2med     high   unacc"
"med   vhigh           3       2big     low    unacc"
"med   vhigh           3       2big     med    unacc"
"med   vhigh           3       2big     high   unacc"
"med   vhigh           3       4small   low    unacc"
"med   vhigh           3       4small   med    unacc"
"med   vhigh           3       4small   high   acc"
"med   vhigh           3       4med     low    unacc"
"med   vhigh           3       4med     med    unacc"
"med   vhigh           3       4med     high   acc"
"med   vhigh           3       4big     low    unacc"
"med   vhigh           3       4big     med    acc"
"med   vhigh           3       4big     high   acc"
"med   vhigh           3more    small   low    unacc"
"med   vhigh           3more    small   med    unacc"
"med   vhigh           3more    small   high   acc"
"med   vhigh           3more    med     low    unacc"
"med   vhigh           3more    med     med    acc"
"med   vhigh           3more    med     high   acc"
"med   vhigh           3more    big     low    unacc"
"med   vhigh           3more    big     med    acc"
"med   vhigh           3more    big     high   acc"
"med   vhigh           4       2small   low    unacc"
"med   vhigh           4       2small   med    unacc"
"med   vhigh           4       2small   high   unacc"
"med   vhigh           4       2med     low    unacc"
"med   vhigh           4       2med     med    unacc"
"med   vhigh           4       2med     high   unacc"
"med   vhigh           4       2big     low    unacc"
"med   vhigh           4       2big     med    unacc"
"med   vhigh           4       2big     high   unacc"
"med   vhigh           4       4small   low    unacc"
"med   vhigh           4       4small   med    unacc"
"med   vhigh           4       4small   high   acc"
"med   vhigh           4       4med     low    unacc"
"med   vhigh           4       4med     med    acc"
"med   vhigh           4       4med     high   acc"
"med   vhigh           4       4big     low    unacc"
"med   vhigh           4       4big     med    acc"
"med   vhigh           4       4big     high   acc"
"med   vhigh           4more    small   low    unacc"
"med   vhigh           4more    small   med    unacc"
"med   vhigh           4more    small   high   acc"
"med   vhigh           4more    med     low    unacc"
"med   vhigh           4more    med     med    acc"
"med   vhigh           4more    med     high   acc"
"med   vhigh           4more    big     low    unacc"
"med   vhigh           4more    big     med    acc"
"med   vhigh           4more    big     high   acc"
"med   vhigh   5more           2small   low    unacc"
"med   vhigh   5more           2small   med    unacc"
"med   vhigh   5more           2small   high   unacc"
"med   vhigh   5more           2med     low    unacc"
"med   vhigh   5more           2med     med    unacc"
"med   vhigh   5more           2med     high   unacc"
"med   vhigh   5more           2big     low    unacc"
"med   vhigh   5more           2big     med    unacc"
"med   vhigh   5more           2big     high   unacc"
"med   vhigh   5more           4small   low    unacc"
"med   vhigh   5more           4small   med    unacc"
"med   vhigh   5more           4small   high   acc"
"med   vhigh   5more           4med     low    unacc"
"med   vhigh   5more           4med     med    acc"
"med   vhigh   5more           4med     high   acc"
"med   vhigh   5more           4big     low    unacc"
"med   vhigh   5more           4big     med    acc"
"med   vhigh   5more           4big     high   acc"
"med   vhigh   5more    more    small   low    unacc"
"med   vhigh   5more    more    small   med    unacc"
"med   vhigh   5more    more    small   high   acc"
"med   vhigh   5more    more    med     low    unacc"
"med   vhigh   5more    more    med     med    acc"
"med   vhigh   5more    more    med     high   acc"
"med   vhigh   5more    more    big     low    unacc"
"med   vhigh   5more    more    big     med    acc"
"med   vhigh   5more    more    big     high   acc"
"med   high            2       2small   low    unacc"
"med   high            2       2small   med    unacc"
"med   high            2       2small   high   unacc"
"med   high            2       2med     low    unacc"
"med   high            2       2med     med    unacc"
"med   high            2       2med     high   unacc"
"med   high            2       2big     low    unacc"
"med   high            2       2big     med    unacc"
"med   high            2       2big     high   unacc"
"med   high            2       4small   low    unacc"
"med   high            2       4small   med    unacc"
"med   high            2       4small   high   acc"
"med   high            2       4med     low    unacc"
"med   high            2       4med     med    unacc"
"med   high            2       4med     high   acc"
"med   high            2       4big     low    unacc"
"med   high            2       4big     med    acc"
"med   high            2       4big     high   acc"
"med   high            2more    small   low    unacc"
"med   high            2more    small   med    unacc"
"med   high            2more    small   high   unacc"
"med   high            2more    med     low    unacc"
"med   high            2more    med     med    unacc"
"med   high            2more    med     high   acc"
"med   high            2more    big     low    unacc"
"med   high            2more    big     med    acc"
"med   high            2more    big     high   acc"
"med   high            3       2small   low    unacc"
"med   high            3       2small   med    unacc"
"med   high            3       2small   high   unacc"
"med   high            3       2med     low    unacc"
"med   high            3       2med     med    unacc"
"med   high            3       2med     high   unacc"
"med   high            3       2big     low    unacc"
"med   high            3       2big     med    unacc"
"med   high            3       2big     high   unacc"
"med   high            3       4small   low    unacc"
"med   high            3       4small   med    unacc"
"med   high            3       4small   high   acc"
"med   high            3       4med     low    unacc"
"med   high            3       4med     med    unacc"
"med   high            3       4med     high   acc"
"med   high            3       4big     low    unacc"
"med   high            3       4big     med    acc"
"med   high            3       4big     high   acc"
"med   high            3more    small   low    unacc"
"med   high            3more    small   med    unacc"
"med   high            3more    small   high   acc"
"med   high            3more    med     low    unacc"
"med   high            3more    med     med    acc"
"med   high            3more    med     high   acc"
"med   high            3more    big     low    unacc"
"med   high            3more    big     med    acc"
"med   high            3more    big     high   acc"
"med   high            4       2small   low    unacc"
"med   high            4       2small   med    unacc"
"med   high            4       2small   high   unacc"
"med   high            4       2med     low    unacc"
"med   high            4       2med     med    unacc"
"med   high           4       2med     high   unacc"
"med   high           4       2big     low    unacc"
"med   high           4       2big     med    unacc"
"med   high           4       2big     high   unacc"
"med   high           4       4small   low    unacc"
"med   high           4       4small   med    unacc"
"med   high           4       4small   high   acc"
"med   high           4       4med     low    unacc"
"med   high           4       4med     med    acc"
"med   high           4       4med     high   acc"
"med   high           4       4big     low    unacc"
"med   high           4       4big     med    acc"
"med   high           4       4big     high   acc"
"med   high           4more    small   low    unacc"
"med   high           4more    small   med    unacc"
"med   high           4more    small   high   acc"
"med   high           4more    med     low    unacc"
"med   high           4more    med     med    acc"
"med   high           4more    med     high   acc"
"med   high           4more    big     low    unacc"
"med   high           4more    big     med    acc"
"med   high           4more    big     high   acc"
"med   high   5more           2small   low    unacc"
"med   high   5more           2small   med    unacc"
"med   high   5more           2small   high   unacc"
"med   high   5more           2med     low    unacc"
"med   high   5more           2med     med    unacc"
"med   high   5more           2med     high   unacc"
"med   high   5more           2big     low    unacc"
"med   high   5more           2big     med    unacc"
"med   high   5more           2big     high   unacc"
"med   high   5more           4small   low    unacc"
"med   high   5more           4small   med    unacc"
"med   high   5more           4small   high   acc"
"med   high   5more           4med     low    unacc"
"med   high   5more           4med     med    acc"
"med   high   5more           4med     high   acc"
"med   high   5more           4big     low    unacc"
"med   high   5more           4big     med    acc"
"med   high   5more           4big     high   acc"
"med   high   5more    more    small   low    unacc"
"med   high   5more    more    small   med    unacc"
"med   high   5more    more    small   high   acc"
"med   high   5more    more    med     low    unacc"
"med   high   5more    more    med     med    acc"
"med   high   5more    more    med     high   acc"
"med   high   5more    more    big     low    unacc"
"med   high   5more    more    big     med    acc"
"med   high   5more    more    big     high   acc"
"med   med            2       2small   low    unacc"
"med   med            2       2small   med    unacc"
"med   med            2       2small   high   unacc"
"med   med            2       2med     low    unacc"
"med   med            2       2med     med    unacc"
"med   med            2       2med     high   unacc"
"med   med            2       2big     low    unacc"
"med   med            2       2big     med    unacc"
"med   med            2       2big     high   unacc"
"med   med            2       4small   low    unacc"
"med   med            2       4small   med    acc"
"med   med            2       4small   high   acc"
"med   med            2       4med     low    unacc"
"med   med            2       4med     med    acc"
"med   med            2       4med     high   acc"
"med   med            2       4big     low    unacc"
"med   med            2       4big     med    acc"
"med   med            2       4big     high   vgood"
"med   med            2more    small   low    unacc"
"med   med            2more    small   med    unacc"
"med   med            2more    small   high   unacc"
"med   med           2more    med     low    unacc"
"med   med           2more    med     med    acc"
"med   med           2more    med     high   acc"
"med   med           2more    big     low    unacc"
"med   med           2more    big     med    acc"
"med   med           2more    big     high   vgood"
"med   med           3       2small   low    unacc"
"med   med           3       2small   med    unacc"
"med   med           3       2small   high   unacc"
"med   med           3       2med     low    unacc"
"med   med           3       2med     med    unacc"
"med   med           3       2med     high   unacc"
"med   med           3       2big     low    unacc"
"med   med           3       2big     med    unacc"
"med   med           3       2big     high   unacc"
"med   med           3       4small   low    unacc"
"med   med           3       4small   med    acc"
"med   med           3       4small   high   acc"
"med   med           3       4med     low    unacc"
"med   med           3       4med     med    acc"
"med   med           3       4med     high   acc"
"med   med           3       4big     low    unacc"
"med   med           3       4big     med    acc"
"med   med           3       4big     high   vgood"
"med   med           3more    small   low    unacc"
"med   med           3more    small   med    acc"
"med   med           3more    small   high   acc"
"med   med           3more    med     low    unacc"
"med   med           3more    med     med    acc"
"med   med           3more    med     high   vgood"
"med   med           3more    big     low    unacc"
"med   med           3more    big     med    acc"
"med   med           3more    big     high   vgood"
"med   med           4       2small   low    unacc"
"med   med           4       2small   med    unacc"
"med   med           4       2small   high   unacc"
"med   med           4       2med     low    unacc"
"med   med           4       2med     med    unacc"
"med   med           4       2med     high   unacc"
"med   med           4       2big     low    unacc"
"med   med           4       2big     med    unacc"
"med   med           4       2big     high   unacc"
"med   med           4       4small   low    unacc"
"med   med           4       4small   med    acc"
"med   med           4       4small   high   acc"
"med   med           4       4med     low    unacc"
"med   med           4       4med     med    acc"
"med   med           4       4med     high   vgood"
"med   med           4       4big     low    unacc"
"med   med           4       4big     med    acc"
"med   med           4       4big     high   vgood"
"med   med           4more    small   low    unacc"
"med   med           4more    small   med    acc"
"med   med           4more    small   high   acc"
"med   med           4more    med     low    unacc"
"med   med           4more    med     med    acc"
"med   med           4more    med     high   vgood"
"med   med           4more    big     low    unacc"
"med   med           4more    big     med    acc"
"med   med           4more    big     high   vgood"
"med   med   5more           2small   low    unacc"
"med   med   5more           2small   med    unacc"
"med   med   5more           2small   high   unacc"
"med   med   5more           2med     low    unacc"
"med   med   5more           2med     med    unacc"
"med   med   5more           2med     high   unacc"
"med   med   5more           2big     low    unacc"
"med   med   5more           2big     med    unacc"
"med   med   5more           2big     high   unacc"
"med   med   5more           4small   low    unacc"
"med   med   5more           4small   med    acc"
"med   med   5more           4small   high   acc"
"med   med   5more           4med     low    unacc"
"med   med   5more           4med     med    acc"
"med   med   5more           4med     high   vgood"
"med   med   5more           4big     low    unacc"
"med   med   5more           4big     med    acc"
"med   med   5more           4big     high   vgood"
"med   med   5more more       small   low    unacc"
"med   med   5more more       small   med    acc"
"med   med   5more    more    small   high   acc"
"med   med   5more    more    med     low    unacc"
"med   med   5more    more    med     med    acc"
"med   med   5more    more    med     high   vgood"
"med   med   5more    more    big     low    unacc"
"med   med   5more    more    big     med    acc"
"med   med   5more    more    big     high   vgood"
"med   low           2       2small   low    unacc"
"med   low           2       2small   med    unacc"
"med   low           2       2small   high   unacc"
"med   low           2       2med     low    unacc"
"med   low           2       2med     med    unacc"
"med   low           2       2med     high   unacc"
"med   low           2       2big     low    unacc"
"med   low           2       2big     med    unacc"
"med   low           2       2big     high   unacc"
"med   low           2       4small   low    unacc"
"med   low           2       4small   med    acc"
"med   low           2       4small   high   good"
"med   low           2       4small   high   good"
"med   low           2       4med     low    unacc"
"med   low           2       4med     med    acc"
"med   low           2       4med     high   good"
"med   low           2       4med     high   good"
"med   low           2       4big     low    unacc"
"med   low           2       4big     med    good"
"med   low           2       4big     med    good"
"med   low           2       4big     high   vgood"
"med   low           2more    small   low    unacc"
"med   low           2more    small   med    unacc"
"med   low           2more    small   high   unacc"
"med   low           2more    med     low    unacc"
"med   low           2more    med     med    acc"
"med   low           2more    med     high   good"
"med   low           2more    med     high   good"
"med   low           2more    big     low    unacc"
"med   low           2more    big     med    good"
"med   low           2more    big     med    good"
"med   low           2more    big     high   vgood"
"med   low           3       2small   low    unacc"
"med   low           3       2small   med    unacc"
"med   low           3       2small   high   unacc"
"med   low           3       2med     low    unacc"
"med   low           3       2med     med    unacc"
"med   low           3       2med     high   unacc"
"med   low           3       2big     low    unacc"
"med   low           3       2big     med    unacc"
"med   low           3       2big     high   unacc"
"med   low           3       4small   low    unacc"
"med   low           3       4small   med    acc"
"med   low           3       4small   high   good"
"med   low           3       4small   high   good"
"med   low           3       4med     low    unacc"
"med   low           3       4med     med    acc"
"med   low           3       4med     high   good"
"med   low           3       4big     low    unacc"
"med   low           3       4big     med    good"
"med   low           3       4big     high   vgood"
"med   low             3more small      low    unacc"
"med   low             3more small      med    acc"
"med   low             3more small      high   good"
"med   low             3more med        low    unacc"
"med   low             3more med        med    good"
"med   low             3more med        high   vgood"
"med   low             3more big        low    unacc"
"med   low             3more big        med    good"
"med   low             3more big        high   vgood"
"med   low             4     2small     low    unacc"
"med   low             4     2small     med    unacc"
"med   low             4     2small     high   unacc"
""
"med   low             4       2med     low    unacc"
"med   low             4       2med     med    unacc"
"med   low             4       2med     high   unacc"
"med   low             4       2big     low    unacc"
"med   low             4       2big     med    unacc"
"med   low             4       2big     high   unacc"
"med   low             4       4small   low    unacc"
"med   low             4       4small   med    acc"
"med   low             4       4small   high   good"
"med   low             4       4med     low    unacc"
"med   low             4       4med     med    good"
"med   low             4       4med     high   vgood"
"med   low             4       4big     low    unacc"
"med   low             4       4big     med    good"
"med   low             4       4big     high   vgood"
"med   low             4more    small   low    unacc"
"med   low             4more    small   med    acc"
"med   low             4more    small   high   good"
"med   low             4more    med     low    unacc"
"med   low             4more    med     med    good"
"med   low             4more    med     high   vgood"
"med   low             4more    big     low    unacc"
"med   low             4more    big     med    good"
"med   low             4more    big     high   vgood"
"med   low     5more           2small   low    unacc"
"med   low     5more           2small   med    unacc"
"med   low     5more           2small   high   unacc"
"med   low     5more           2med     low    unacc"
"med   low     5more           2med     med    unacc"
"med   low     5more           2med     high   unacc"
"med   low     5more           2big     low    unacc"
"med   low     5more           2big     med    unacc"
"med   low     5more           2big     high   unacc"
"med   low     5more           4small   low    unacc"
"med   low     5more           4small   med    acc"
"med   low     5more           4small   high   good"
"med   low     5more           4med     low    unacc"
"med   low     5more           4med     med    good"
"med   low     5more           4med     high   vgood"
"med   low     5more           4big     low    unacc"
"med   low     5more           4big     med    good"
"med   low     5more           4big     high   vgood"
"med   low     5more    more    small   low    unacc"
"med   low     5more    more    small   med    acc"
"med   low     5more    more    small   high   good"
"med   low     5more    more    med     low    unacc"
"med   low     5more    more    med     med    good"
"med   low     5more    more    med     high   vgood"
"med   low     5more    more    big     low    unacc"
"med   low     5more    more    big     med    good"
"med   low     5more    more    big     high   vgood"
"low   vhigh           2       2small   low    unacc"
"low   vhigh           2       2small   med    unacc"
"low   vhigh           2       2small   high   unacc"
"low   vhigh           2       2med     low    unacc"
"low   vhigh           2       2med     med    unacc"
"low   vhigh           2       2med     high   unacc"
"low   vhigh   2       2big     low    unacc"
"low   vhigh   2       2big     med    unacc"
"low   vhigh   2       2big     high   unacc"
"low   vhigh   2       4small   low    unacc"
"low   vhigh   2       4small   med    unacc"
"low   vhigh   2       4small   high   acc"
"low   vhigh   2       4med     low    unacc"
"low   vhigh   2       4med     med    unacc"
"low   vhigh   2       4med     high   acc"
"low   vhigh   2       4big     low    unacc"
"low   vhigh   2       4big     med    acc"
"low   vhigh   2       4big     high   acc"
"low   vhigh   2more    small   low    unacc"
""
"low   vhigh   2more    small   med    unacc"
"low   vhigh   2more    small   high   unacc"
"low   vhigh   2more    med     low    unacc"
"low   vhigh   2more    med     med    unacc"
"low   vhigh   2more    med     high   acc"
"low   vhigh   2more    big     low    unacc"
"low   vhigh   2more    big     med    acc"
"low   vhigh   2more    big     high   acc"
"low   vhigh   3       2small   low    unacc"
"low   vhigh   3       2small   med    unacc"
"low   vhigh   3       2small   high   unacc"
"low   vhigh   3       2med     low    unacc"
"low   vhigh   3       2med     med    unacc"
"low   vhigh   3       2med     high   unacc"
"low   vhigh   3       2big     low    unacc"
"low   vhigh   3       2big     med    unacc"
"low   vhigh   3       2big     high   unacc"
"low   vhigh   3       4small   low    unacc"
"low   vhigh   3       4small   med    unacc"
"low   vhigh   3       4small   high   acc"
"low   vhigh   3       4med     low    unacc"
"low   vhigh   3       4med     med    unacc"
"low   vhigh   3       4med     high   acc"
"low   vhigh   3       4big     low    unacc"
"low   vhigh   3       4big     med    acc"
"low   vhigh   3       4big     high   acc"
"low   vhigh   3more    small   low    unacc"
"low   vhigh   3more    small   med    unacc"
"low   vhigh   3more    small   high   acc"
"low   vhigh   3more    med     low    unacc"
"low   vhigh   3more    med     med    acc"
"low   vhigh   3more    med     high   acc"
"low   vhigh   3more    big     low    unacc"
"low   vhigh   3more    big     med    acc"
"low   vhigh   3more    big     high   acc"
"low   vhigh   4       2small   low    unacc"
"low   vhigh   4       2small   med    unacc"
"low   vhigh   4       2small   high   unacc"
"low   vhigh   4       2med     low    unacc"
"low   vhigh   4       2med     med    unacc"
"low   vhigh   4       2med     high   unacc"
"low   vhigh   4       2big     low    unacc"
"low   vhigh   4       2big     med    unacc"
"low   vhigh   4       2big     high   unacc"
"low   vhigh   4       4small   low    unacc"
"low   vhigh   4       4small   med    unacc"
"low   vhigh   4       4small   high   acc"
"low   vhigh   4       4med     low    unacc"
"low   vhigh   4       4med     med    acc"
"low   vhigh   4       4med     high   acc"
"low   vhigh   4       4big     low    unacc"
"low   vhigh   4       4big     med    acc"
"low   vhigh   4       4big     high   acc"
"low   vhigh   4more    small   low    unacc"
"low   vhigh   4more    small   med    unacc"
"low   vhigh   4more    small   high   acc"
"low   vhigh           4more    med     low    unacc"
"low   vhigh           4more    med     med    acc"
"low   vhigh           4more    med     high   acc"
"low   vhigh           4more    big     low    unacc"
"low   vhigh           4more    big     med    acc"
"low   vhigh           4more    big     high   acc"
"low   vhigh   5more           2small   low    unacc"
"low   vhigh   5more           2small   med    unacc"
"low   vhigh   5more           2small   high   unacc"
"low   vhigh   5more           2med     low    unacc"
"low   vhigh   5more           2med     med    unacc"
"low   vhigh   5more           2med     high   unacc"
"low   vhigh   5more           2big     low    unacc"
"low   vhigh   5more           2big     med    unacc"
"low   vhigh   5more           2big     high   unacc"
"low   vhigh   5more           4small   low    unacc"
"low   vhigh   5more           4small   med    unacc"
"low   vhigh   5more           4small   high   acc"
"low   vhigh   5more           4med     low    unacc"
"low   vhigh   5more           4med     med    acc"
"low   vhigh   5more           4med     high   acc"
"low   vhigh   5more           4big     low    unacc"
"low   vhigh   5more           4big     med    acc"
"low   vhigh   5more           4big     high   acc"
"low   vhigh   5more    more    small   low    unacc"
"low   vhigh   5more    more    small   med    unacc"
"low   vhigh   5more    more    small   high   acc"
"low   vhigh   5more    more    med     low    unacc"
"low   vhigh   5more    more    med     med    acc"
"low   vhigh   5more    more    med     high   acc"
"low   vhigh   5more    more    big     low    unacc"
"low   vhigh   5more    more    big     med    acc"
"low   vhigh   5more    more    big     high   acc"
"low   high            2       2small   low    unacc"
"low   high            2       2small   med    unacc"
"low   high            2       2small   high   unacc"
"low   high            2       2med     low    unacc"
"low   high            2       2med     med    unacc"
"low   high            2       2med     high   unacc"
"low   high            2       2big     low    unacc"
"low   high            2       2big     med    unacc"
"low   high            2       2big     high   unacc"
"low   high            2       4small   low    unacc"
"low   high            2       4small   med    acc"
"low   high            2       4small   high   acc"
"low   high            2       4med     low    unacc"
"low   high            2       4med     med    acc"
"low   high            2       4med     high   acc"
"low   high            2       4big     low    unacc"
"low   high            2       4big     med    acc"
"low   high            2       4big     high   vgood"
"low   high            2more    small   low    unacc"
"low   high            2more    small   med    unacc"
"low   high            2more    small   high   unacc"
"low   high            2more    med     low    unacc"
"low   high            2more    med     med    acc"
"low   high            2more    med     high   acc"
"low   high            2more    big     low    unacc"
"low   high            2more    big     med    acc"
"low   high            2more    big     high   vgood"
"low   high            3       2small   low    unacc"
"low   high            3       2small   med    unacc"
"low   high            3       2small   high   unacc"
"low   high            3       2med     low    unacc"
"low   high            3       2med     med    unacc"
"low   high            3       2med     high   unacc"
"low   high            3       2big     low    unacc"
"low   high            3       2big     med    unacc"
"low   high            3       2big     high   unacc"
"low   high            3       4small   low    unacc"
"low   high           3       4small   med    acc"
"low   high           3       4small   high   acc"
"low   high           3       4med     low    unacc"
"low   high           3       4med     med    acc"
"low   high           3       4med     high   acc"
"low   high           3       4big     low    unacc"
"low   high           3       4big     med    acc"
"low   high           3       4big     high   vgood"
"low   high           3more    small   low    unacc"
"low   high           3more    small   med    acc"
"low   high           3more    small   high   acc"
"low   high           3more    med     low    unacc"
"low   high           3more    med     med    acc"
"low   high           3more    med     high   vgood"
"low   high           3more    big     low    unacc"
"low   high           3more    big     med    acc"
"low   high           3more    big     high   vgood"
"low   high           4       2small   low    unacc"
"low   high           4       2small   med    unacc"
"low   high           4       2small   high   unacc"
"low   high           4       2med     low    unacc"
"low   high           4       2med     med    unacc"
"low   high           4       2med     high   unacc"
"low   high           4       2big     low    unacc"
"low   high           4       2big     med    unacc"
"low   high           4       2big     high   unacc"
"low   high           4       4small   low    unacc"
